female.id,filehandles,call.id,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,mfcc_61,mfcc_62,mfcc_63,mfcc_64,mfcc_65,mfcc_66,mfcc_67,mfcc_68,mfcc_69,mfcc_70,mfcc_71,mfcc_72,mfcc_73,mfcc_74,mfcc_75,mfcc_76,mfcc_77,mfcc_78,mfcc_79,mfcc_80,mfcc_81,mfcc_82,mfcc_83,mfcc_84,mfcc_85,mfcc_86,mfcc_87,mfcc_88,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50,delta_51,delta_52,delta_53,delta_54,delta_55,delta_56,delta_57,delta_58,delta_59,delta_60,delta_61,delta_62,delta_63,delta_64,delta_65,delta_66,delta_67,delta_68,delta_69,delta_70,delta_71,delta_72,delta_73,delta_74,delta_75,delta_76,delta_77,delta_78,delta_79,delta_80,delta_81,delta_82,delta_83,delta_84,delta_85,delta_86,delta_87,delta_88,dur
SAFA_02,SAFA_02_036.02,SAFA_02_036,1.118298364,-4.632052205,-23.79124969,-24.44378364,12.60312641,-17.5035196,-3.25054418,5.546734671,16.25427262,4.08653346,-3.904002963,0.179823438,-2.529592821,-21.62626086,-34.81622376,8.97156105,-8.711369634,-7.034976417,5.624297843,24.15386371,13.79384996,4.848398211,-1.917503867,-9.360489344,-28.80443952,-20.7837388,15.22665093,-16.97233731,0.006786432,21.80536665,16.96070261,1.485925646,7.421175742,-4.974402122,-16.52244747,-26.51635686,-9.509785685,9.124072227,-18.86116875,19.9842382,17.75156902,1.951123681,7.341689604,4.706389685,-8.350317992,-25.28231125,-17.02242536,5.240437804,-5.18483866,2.448768176,21.03758745,-6.900121379,1.832160005,6.389883167,-20.21423063,-6.262198473,-29.90882488,-5.053559294,6.644398062,-4.625600147,12.60901828,6.143744559,-5.022862224,1.705201897,-4.310597458,-0.863019258,-4.884437295,-26.63083262,-12.55815933,15.46898505,-8.907288445,4.132354928,10.39272072,-3.287838463,-3.458337981,11.18661804,-7.749865615,-3.836909765,-20.27505588,-13.08889579,15.16817579,-2.99708607,0.05396802,9.321539158,2.290215131,-8.064017557,2.257021056,-2.081440741,-1524.931364,-1410.819985,-1077.213388,-560.1873344,139.1019327,199.1382756,195.4924849,95.32265753,-27.99708634,13.37793936,-79.27313562,-1503.493818,-1349.603676,-1041.381664,-536.5726506,175.6452561,267.5086506,296.4291302,222.4882787,56.12295355,69.0319305,-2.350583121,-1506.40356,-1384.85443,-1034.617511,-453.3940993,230.4442473,250.6394328,253.9572617,143.2736747,36.46797599,81.50931143,-26.63881913,-1547.330637,-1425.802152,-981.4566287,-417.4517797,214.1739597,246.2418653,197.7122527,77.98425605,12.06636869,25.10159553,-97.3717,-1569.181044,-1358.302931,-925.0347262,-474.0713598,169.2048376,185.1938415,-4.633777199,-158.2300471,-197.3201959,-263.0820586,-275.6464951,-1471.404282,-1238.480511,-900.7449397,-470.5376271,134.8867174,110.1040174,-21.07310284,-57.01970076,-38.66705194,-69.15697684,-17.23639048,-1460.187455,-1264.224492,-905.4306107,-469.8298759,110.2985097,160.3556288,9.863781376,-89.14566664,-52.82768647,-115.1722231,-113.4759657,-1383.11904,-1220.855159,-884.5567234,-448.6868856,80.49404398,91.76564634,-2.60125987,-79.23098076,-25.58279884,-45.51130967,-51.10019538,14.2946712
SAFA_02,SAFA_02_036.03,SAFA_02_036,2.364495932,-5.041158799,-25.90437803,-26.2097197,4.213588522,-5.613819997,-13.82705604,0.793380074,12.46154097,5.526890652,1.73217735,2.742657204,-7.616464446,-19.81158749,-31.53574023,5.440906461,-4.094682513,-11.38024798,8.572835129,20.79068959,0.631680503,10.15587939,0.237387227,-12.97554026,-26.95699658,-21.77485208,14.9799272,-9.275536092,-0.805229077,23.54481341,11.63846992,-4.913256467,6.749817849,-2.691260587,-19.04944757,-25.84282694,-8.903356698,6.61465753,-9.460897724,17.44178081,15.44052804,-2.313387389,0.096666738,3.810233581,-4.952252019,-25.8957052,-14.41213457,3.011900494,-3.130365417,9.131179597,12.72274213,-8.277956681,4.21743178,-3.464939407,-14.90687496,-4.39959171,-31.43952279,-6.059682624,5.80541601,-8.184162648,14.62843945,4.110859272,-8.946563213,6.55422016,-5.046202168,-7.749304339,-1.490223246,-24.06773875,-15.06696879,11.48867496,-3.3558042,-1.018726555,6.044683431,1.098959375,-8.090253122,4.317038758,0.16911687,-1.024157554,-18.92531238,-15.74276176,16.31385609,5.496643708,-3.385954352,0.616661703,4.154461249,-8.38948876,0.457878719,1.891542893,-1554.776161,-1383.039125,-1094.926069,-590.889068,102.6423404,193.3355098,228.6591575,152.893373,47.96432472,67.2099205,39.79988486,-1515.263122,-1341.343635,-1052.953738,-533.8532724,165.063765,218.1954073,259.7392136,222.5350609,96.74267751,114.141908,79.14822071,-1496.268013,-1344.48272,-1007.143299,-429.201116,219.9682428,222.8897094,211.5494795,110.5766099,1.807648378,48.28791335,-18.27902881,-1542.911796,-1383.690627,-960.2053209,-414.9742812,190.9930941,206.6876687,152.6576483,41.80104999,-14.01125764,-4.94708442,-73.45626352,-1520.396585,-1292.274225,-912.6977089,-483.6276456,149.9210132,138.8851554,-24.12302316,-140.7021788,-169.6664187,-211.4232128,-180.0957722,-1484.549469,-1239.19115,-907.9645727,-490.5115269,140.4582334,126.2060543,-33.41157844,-89.82022881,-85.2137643,-137.0004727,-75.15902899,-1417.069192,-1250.261006,-915.7894206,-468.7543829,78.81587779,123.0903135,32.07822212,-38.16687508,9.130160819,-6.475640997,-13.92097566,-1342.226902,-1205.614566,-913.3313916,-471.2392593,52.79703254,70.3938117,2.737437161,-69.82303957,0.265268321,30.68982749,20.30649717,14.67569161
SAFA_02,SAFA_02_036.04,SAFA_02_036,1.007082027,-1.603378792,-20.23821546,-27.27301397,6.926441266,-11.6776568,-1.235851139,4.043553986,7.516552286,11.49012933,-0.983287755,1.911162343,-5.275343187,-14.97746722,-22.72435306,3.95912032,-12.41299898,-4.96912144,8.863724678,14.74144547,5.716950151,6.581274237,-0.736516794,-7.203305016,-18.72798342,-17.50116545,9.83423611,-11.3848347,6.308400859,17.32834372,9.410709458,0.225255793,0.283898421,-4.775644012,-16.5995436,-18.40422479,-2.597958626,2.40887062,-5.376135275,25.55528726,11.15458969,-4.257128609,10.79192926,-10.50833419,-5.207780576,-20.25029693,-11.0851916,9.547849879,-1.814175555,11.23300998,19.12706584,-3.52367552,-1.636857343,3.961700144,-20.39413821,-4.551006426,-26.48515674,-9.35602019,9.250651472,-8.729458845,9.3100073,12.79084415,-5.786274409,0.523913293,7.850602445,-13.41363305,-3.142349594,-23.56047607,-16.34524713,14.55793368,-7.871724265,-0.159417088,10.23617791,-2.242514249,-5.01065713,9.061780993,-6.58310795,-3.605546254,-18.00830008,-17.09883942,16.19785053,-0.068469617,-0.704550067,7.846630077,2.099736336,-10.11833812,-0.395284337,-7.438743231,-1564.778674,-1423.449658,-1081.817203,-570.9727178,96.57876518,190.1091792,210.2105736,136.5176935,8.395893175,24.98164282,-43.54336886,-1547.223921,-1413.803329,-1092.228522,-564.3875028,124.0663818,187.3738251,214.4002494,181.0594361,87.42545213,97.90320776,23.898213,-1549.257345,-1411.318797,-1042.07932,-485.9253204,170.3729505,180.263505,157.0929162,68.81173198,-32.34724421,-14.61427648,-93.4263251,-1597.200112,-1424.17278,-967.4802504,-439.3824256,170.4773089,202.6586932,74.95195255,-67.8694035,-139.5553193,-178.2967134,-243.0459321,-1563.048351,-1335.105265,-932.6175127,-485.6583403,126.5732322,119.9911817,-68.39628471,-210.8143832,-240.7583276,-297.5704111,-270.5666043,-1519.143682,-1295.354602,-920.2741209,-485.614898,126.7494104,158.4292884,-17.02013595,-119.8954013,-125.6796954,-198.7002566,-176.8393129,-1481.92328,-1302.413164,-937.3753288,-488.7025191,94.92615464,148.9998046,26.19913577,-77.50275647,-36.45088382,-86.40625927,-99.08871515,-1419.748989,-1258.397616,-920.5507044,-471.9517292,67.26148015,71.11243814,-28.43447048,-134.0036326,-82.74944124,-89.19025682,-91.44120104,13.98478458
SAFA_02,SAFA_02_036.05,SAFA_02_036,-0.103157581,-5.837509963,-24.77086302,-23.34432349,0.279448958,-11.19228525,-11.42733805,1.953958327,12.9148433,4.62583835,-3.52266905,1.33475959,-7.254038046,-18.47878455,-30.44687363,2.337722567,-12.73726694,-9.264535977,11.10454751,22.1057891,-0.939099394,4.055560245,-1.935325133,-5.776775447,-28.98884364,-25.10208251,12.89550064,-8.813061497,-8.611821872,17.58825267,24.57922884,-1.972268092,1.188604648,-4.637783586,-15.35046169,-28.55331576,-8.198137907,7.448913694,-15.27395628,14.30929027,18.54203565,4.111583148,1.910316618,4.692641122,-7.478193174,-22.82417181,-18.25215036,3.754715249,-4.249493446,-1.458140414,19.80928898,-0.787989022,0.412116762,11.85363688,-16.92332611,-3.635071026,-26.55292854,-9.754559056,8.438893985,-9.790223838,3.23837394,9.990937537,-6.80393425,1.54762164,8.988932165,-12.28189571,-2.845409335,-23.42447855,-18.45383311,13.83202183,-6.17736627,-4.522969434,8.351902887,1.304391012,-8.568041254,11.29092048,-3.978851285,-2.327296345,-20.85936395,-14.75276374,14.23594552,-6.495426268,-0.174990039,10.40772344,2.783864138,-6.549895474,3.59052535,-2.353470736,-1598.742226,-1442.290181,-1128.141279,-601.5950729,114.2854966,193.8002889,207.3202937,123.8586923,26.28159461,27.00170472,-25.83473823,-1555.501748,-1411.013561,-1096.967142,-549.2498114,174.2979785,218.5140593,242.0386494,198.1299087,71.84637782,74.98339404,1.027625041,-1526.5695,-1369.00514,-1057.913682,-489.5010242,233.1963648,239.7955947,239.868007,116.9146982,-16.78225326,13.21802391,-53.61761363,-1566.778926,-1428.631658,-1006.925141,-432.6446249,215.3243526,227.3785336,190.4505219,67.46513707,13.00968458,23.89871107,-76.07033972,-1563.97817,-1370.869851,-941.3420875,-464.1211377,168.5798111,209.67741,39.60543369,-113.5072811,-157.914492,-221.6647051,-258.7843204,-1497.583465,-1299.56836,-934.0136546,-501.8616531,114.2682267,165.3694898,4.17415067,-87.30037388,-85.28029656,-153.6850187,-154.45508,-1480.375067,-1317.714927,-955.3493764,-485.8428235,86.55256172,157.9929792,51.3226337,-49.94011184,-4.248564493,-40.79308455,-71.26413541,-1412.361945,-1244.990682,-897.2412562,-452.5226728,89.94932654,116.4071489,20.51082728,-63.35838655,-14.6833471,-53.07575032,-64.00792793,14.35410431
SAFA_02,SAFA_02_036.06,SAFA_02_036,0.014401661,-4.069452712,-29.44647837,-27.93085768,7.03756472,-5.675787659,-14.46074355,6.443650565,19.91872444,9.457220854,-2.943849265,-2.063863022,-14.89134197,-21.88818777,-23.81286228,2.783326413,-10.27153995,2.447215997,12.1012323,17.20415605,7.968705877,10.14151624,-2.650003295,-10.2283362,-31.14270823,-20.733143,17.1799476,-10.77112848,1.285648388,26.1806892,16.99180846,0.261002589,8.306326156,-7.68031381,-19.61117816,-29.09938265,-1.066482534,1.571136644,0.223969987,17.76392794,8.421707232,4.503822908,12.68421515,-8.340371814,-5.346796579,-26.10842386,-17.80776734,5.196611845,-5.481338573,9.73611265,10.40619782,-8.233979164,5.229246664,10.2238055,-15.82561194,-4.018901555,-24.53849089,-15.37526173,7.171180849,-4.733893382,6.763573737,7.777733426,-3.607650238,2.217728059,8.312830319,-7.345272204,-3.703123744,-19.87397367,-21.97841914,15.16139892,2.765638673,-3.702550936,10.70879292,9.341656742,-4.4622509,1.566894455,0.506719199,-3.385479913,-15.23295433,-18.26789052,11.8540479,7.110198875,-1.027652542,-1.41599533,7.444844345,-1.971415111,-6.887641025,1.68090034,-1584.79314,-1406.482626,-1111.017307,-570.8548267,163.3831406,249.4530109,256.0565097,134.6492767,-5.682481893,3.840863076,-40.22113987,-1619.966093,-1451.080015,-1070.948064,-504.5479534,220.2619289,280.2093016,274.677952,209.1295153,101.9280019,93.75305354,12.94558352,-1535.842532,-1384.367889,-1026.910096,-424.1728734,262.613051,264.2942704,257.3541137,127.3074345,9.859547063,52.93764347,-34.8660191,-1611.102327,-1400.682478,-966.6890192,-434.1906231,227.8522767,265.1603607,138.3512462,-47.16969719,-113.2851508,-158.9386193,-201.4164125,-1543.138472,-1307.138408,-930.6862154,-491.6930296,156.8949382,203.4663138,26.46128119,-119.3232807,-152.0681021,-217.1804518,-195.8612721,-1482.173746,-1270.677815,-918.9425477,-477.5802788,133.6374236,175.1382188,39.07692543,-68.36144088,-71.09758381,-118.8426448,-106.4889915,-1400.698668,-1248.538932,-895.6898087,-419.6765626,131.1208569,134.6156471,47.74546846,-70.02763036,-24.58677722,-26.47004561,-58.43534257,-1315.072207,-1168.530098,-889.783067,-441.4460404,94.51174517,64.92607814,13.87936559,-69.25588258,-21.73022953,12.24932598,10.96892293,15.29791383
SAFA_02,SAFA_02_036.07,SAFA_02_036,-0.09119417,-4.941407011,-27.72343589,-27.59869345,7.072626335,-12.00028709,-11.63049961,7.391879113,17.52455802,1.901206955,-0.642313788,0.773213931,-10.12721538,-18.08463189,-25.6645726,0.750750702,-7.77799393,-8.625447877,12.18617364,24.85206188,5.017348832,12.35129089,-1.227164402,-9.479763263,-28.6004782,-29.8995116,17.72648401,-9.953458725,-5.967427171,21.69272769,21.84332581,-1.655583061,3.201577069,-3.837486199,-17.73414608,-27.65113771,-12.98658706,13.33673384,-17.56522709,17.94627639,24.10323121,-0.571187751,-3.073720199,12.63876385,-7.299147046,-27.3321713,-17.43956089,1.170103986,0.847770898,5.20477985,18.60644162,5.271891404,4.715601055,1.596919456,-9.174849225,-4.538690723,-28.6600331,-13.07141997,5.377947688,-7.399240641,10.08829039,10.82552208,-5.44205437,7.939647728,-3.903869724,-7.63625954,-5.571586349,-30.58447269,-10.25504788,9.28048363,-7.824513484,6.921095833,9.314979289,-3.029679119,4.624524413,3.225248976,-6.407077521,-6.324116344,-23.79699664,-4.258065911,8.973705371,-5.999342424,10.16821299,6.814983744,-1.432611496,6.655955074,-2.228585086,-6.676169852,-1517.919699,-1372.336159,-1072.970597,-545.5824361,155.247146,214.3924568,237.1202192,141.638744,19.69985892,44.16119309,-19.02709976,-1498.811865,-1339.718918,-1038.385327,-507.3273337,200.0605055,255.713632,281.9562453,245.9332698,141.574668,131.2768191,66.73470692,-1467.8251,-1317.923323,-1003.888783,-435.0110188,251.0115886,262.1187002,251.8198767,133.2361381,-23.64482266,24.50310592,-51.22377225,-1486.256126,-1364.883723,-941.1393917,-367.9528294,225.1935138,218.6707325,204.7508219,110.8730433,50.02811635,95.17444299,-13.49106501,-1536.699324,-1317.688258,-902.1363815,-410.390205,221.9978614,208.1440944,42.14206495,-92.55423457,-142.4669214,-183.6463204,-193.0180545,-1476.369849,-1246.914865,-883.788859,-455.7482953,172.0715168,158.6426152,9.042621481,-83.63808018,-89.50710397,-146.2478622,-115.3139463,-1464.102759,-1250.50808,-893.3038043,-453.837983,160.2294903,172.3967708,12.17347832,-70.5800853,-59.50396173,-118.2652626,-104.7159528,-1445.699444,-1231.99077,-900.2322199,-466.6480279,142.354048,111.0174016,-29.56951662,-89.582608,-81.01873902,-131.6702338,-100.8071241,12.48798186
SAFA_02,SAFA_02_036.08,SAFA_02_036,-0.163572409,-2.902356395,-20.85762196,-25.14080688,1.836525978,-12.03250066,-15.41771226,6.379301122,14.44712454,2.469861935,3.626369294,-1.323733868,-5.214745592,-19.3349859,-31.19182425,10.73223252,-10.51115679,-3.385581868,10.94399153,17.70706905,6.319557033,6.443079811,-4.717308311,-11.38897601,-22.66221047,-16.21354238,9.03580382,-13.02666601,7.681058957,18.93681215,8.339012814,2.713119823,8.729182401,-8.905648275,-18.768936,-22.20833316,-0.106929505,0.315777524,-3.382742656,22.41203761,7.101789912,0.477866047,6.699703952,-8.412801185,-6.857111205,-22.5040863,-14.47646252,9.131198341,-6.107671353,0.370813595,17.78667516,-1.705748425,1.646016976,6.472277292,-13.57421303,-5.951819921,-26.46936316,-6.143662939,9.736793705,-10.13450358,8.065061843,7.264829384,-2.795268993,5.662010979,3.047182785,-7.566999863,-3.486308292,-21.06012541,-12.41454814,12.81684012,-7.623737003,2.302069853,9.929523666,0.818973943,-6.340133222,7.986119475,-3.492750555,-5.626895864,-15.34556012,-12.57687093,14.19368645,1.51433599,-0.721373014,4.408632105,5.126967299,-6.759985946,1.976881554,-2.397082417,-1527.221467,-1386.670883,-1106.175889,-581.6223754,110.275886,173.1890906,224.4009704,179.3077966,88.31470704,103.4411056,47.4325276,-1500.385256,-1355.511426,-1031.038741,-505.2767801,177.1788986,227.4171926,251.0512281,192.4262367,48.73898784,77.03711877,3.40745585,-1521.776621,-1382.68047,-1002.470173,-439.66134,207.0760642,218.3580174,212.9154543,130.9885604,49.91361412,70.14267407,-19.63399373,-1551.34438,-1366.291171,-925.7659889,-419.983725,201.1111634,206.4468564,86.41073787,-61.1785012,-112.056254,-152.5145999,-202.7369681,-1508.379527,-1320.093597,-916.5264921,-462.7272138,152.173417,166.4933458,9.063049459,-117.1590013,-126.2449972,-188.8199303,-211.5358969,-1493.800817,-1278.206364,-929.5062535,-483.9397165,142.6228589,145.8184131,-5.02948217,-73.15123964,-60.44737697,-129.7962071,-110.7147139,-1443.65501,-1262.106716,-911.7785405,-467.2499512,88.39537166,127.9657526,22.27914004,-57.746961,-20.53791834,-69.22217062,-72.40837507,-1327.494692,-1178.9755,-875.6515354,-440.299483,75.94116855,71.50127948,-6.631564194,-83.8694396,-37.43431663,-37.80517708,-45.44316415,14.670839
SAFA_02,SAFA_02_036.09,SAFA_02_036,-1.471744613,-4.719950333,-31.43575978,-25.06756104,8.252489321,-15.12338841,-6.754121114,16.46326452,13.50351199,1.085085462,4.318401953,-0.775788071,-4.603738631,-23.1966297,-33.96046728,12.25577443,-13.92158134,0.355177491,20.82990328,18.73927612,1.736446365,11.26678996,-3.093879731,-8.891954882,-29.02462545,-23.300434,16.81958904,-15.62593522,8.544195441,26.81588396,11.97048377,0.680080427,10.1107223,-7.135683923,-17.84909814,-29.91786189,-4.838256362,9.30220555,-13.11033341,30.31967417,15.05198343,-5.856003884,5.917883149,0.02337247,-9.245285003,-26.99892328,-16.32932381,7.496740688,-3.40488858,7.579550608,20.00124937,-6.165355489,4.279885079,-2.095739408,-8.940890073,-8.01616478,-30.33593064,-6.542822734,5.484377552,-1.594005088,15.45057695,3.842139661,2.784169375,5.428605415,-8.895455833,6.469678268,-6.353657678,-26.03888122,-10.89915196,11.26921574,-8.358969012,9.578775475,8.575411523,-2.145877593,-2.344879154,-0.784881516,-4.343395332,-5.320079544,-23.69273104,-15.68817618,13.61785249,-1.917214567,2.224125722,8.575182548,4.052717896,-7.639398281,3.63406858,-4.208934634,-1596.543204,-1453.918331,-1114.017099,-525.816302,182.7581209,226.0929992,263.5632847,158.4161707,49.35588869,77.50989547,-7.281399022,-1552.106017,-1412.686421,-1057.413138,-475.7710573,221.5036828,248.8486016,292.6629076,227.6422296,74.33894404,106.8896098,9.542481191,-1538.32315,-1406.459686,-1015.413864,-412.9495841,250.1931111,253.2307112,261.2265429,149.5563446,27.37175577,72.37612584,-38.13825863,-1569.451743,-1420.008285,-932.2883648,-384.5127848,216.0249599,228.0514474,149.8792539,-6.509228844,-67.44091835,-62.53192713,-160.4067976,-1574.180157,-1343.040949,-917.4551716,-464.1977374,189.34534,157.5223078,2.400935897,-117.4304719,-125.5199908,-171.6800254,-157.3818625,-1531.112928,-1278.529228,-938.0530082,-455.8739622,183.875505,121.7119121,10.28931728,-18.97334688,-1.112510612,-19.62888826,39.01396092,-1522.597158,-1296.387437,-936.2567739,-480.073504,124.9728117,116.7830111,-9.635738605,-82.05132792,-50.18083533,-100.8386554,-65.82332681,-1484.396201,-1296.248167,-938.6688507,-461.5033936,111.0920625,124.8156601,6.349839201,-91.57700382,-54.45294502,-77.17743438,-76.90350224,13.80414966
SAFA_02,SAFA_02_036.10,SAFA_02_036,0.440320245,-7.934683335,-23.09141148,-22.60288226,7.001537614,-19.36779279,-9.017480964,13.40924362,14.64640294,3.86743547,6.747808115,0.827602529,-5.412816397,-17.23019058,-31.1027279,9.184708664,-12.16724512,-7.385414389,18.56937023,20.91935161,10.14189207,8.845675621,-4.334958497,-15.17502656,-24.45761215,-15.35488629,9.736615964,-18.90309655,8.009727442,23.41852878,6.675343202,7.611431206,9.644529434,-8.697551689,-21.99885522,-19.80161365,-5.393455794,2.474484187,-3.052286899,17.90156098,6.580225546,2.847581361,9.40131165,-10.15016569,-7.035219817,-26.55021606,-10.99448034,8.737376616,-4.31896301,8.848813966,14.43128447,-4.383734392,4.383167763,5.911053359,-11.24159759,-4.108028789,-28.51955633,-7.120943804,8.641674052,-5.590555633,13.09840201,7.476440747,-5.866873683,1.753319648,1.126562597,-4.937408297,-2.633796152,-22.33727818,-14.474639,10.11073152,-10.0812376,0.609568297,11.87472493,-2.108384665,-4.124386893,6.799252124,-4.84760888,-3.105704555,-13.13125817,-22.18396167,14.90374764,2.088540893,0.08611726,-0.645936391,8.795644988,-1.803715079,-0.375523823,2.444801257,-1540.30382,-1426.94949,-1108.187739,-546.063226,152.2390622,216.4271517,246.8345986,186.7759134,99.32065473,130.536805,30.1600328,-1493.645203,-1358.860494,-1053.060951,-496.3365905,190.9385914,259.4415336,282.243226,231.6995553,85.71733191,101.2238878,10.30970779,-1535.560837,-1415.152117,-1021.753765,-428.2946954,221.2083417,260.3646387,241.5065986,151.4160746,72.73703825,94.51609746,-26.81131939,-1577.724524,-1385.532678,-955.4891533,-437.6485297,209.6652927,232.922692,93.36880095,-47.04757173,-125.0746031,-159.0052247,-207.9450518,-1518.797436,-1295.321224,-910.44449,-467.3396622,163.1359623,168.4860474,-5.295725598,-116.6074385,-129.0127494,-186.7207842,-171.6672996,-1458.975315,-1227.90663,-890.446524,-471.8584497,125.0549387,129.257167,-18.08871747,-82.02368732,-69.3291034,-114.2165855,-66.3124268,-1475.860645,-1292.548019,-923.3262015,-480.4534142,97.92188222,145.1146077,37.76943073,-47.7522196,-19.97404748,-78.19738055,-88.20031285,-1366.767209,-1208.76076,-917.5353007,-451.6642356,99.24708756,97.21299458,53.6022531,-50.8480653,5.511399934,10.25377781,4.627777152,13.97102041
SAFA_02,SAFA_02_036.11,SAFA_02_036,2.958742442,-7.286089529,-26.85506771,-20.86961326,1.042916107,-14.16700661,-6.134274105,7.796338623,13.36952332,6.931202064,4.142097364,3.396967315,-6.401984365,-24.38244089,-29.62526272,6.974447885,-11.63877944,-3.81160617,15.9104291,16.80668072,7.490180359,4.640759168,-0.454486565,-5.520499852,-29.41500505,-22.35312631,6.331929235,-8.996449774,-0.916726247,21.4777429,15.83399657,3.648201855,4.213024657,-1.056407235,-13.71069085,-28.63726115,-13.47609047,11.58763401,-13.5904192,16.61424334,22.3692013,1.764751213,2.187928608,5.466201072,-5.080393206,-20.279558,-23.70700993,-6.037048088,3.520999846,1.583670713,16.00614218,4.660316427,6.539853811,-0.409838891,-6.912628581,-3.934292147,-25.61355392,-14.75394793,4.47317101,-5.124230454,9.855608119,12.31011515,-7.907155846,5.133338428,-0.863594384,-10.49961937,-0.626706034,-20.92667709,-15.97440808,7.690455226,-6.941787726,1.922521232,9.920059993,-2.285551155,-1.593911967,4.357916311,-3.299524529,0.872417806,-22.45479587,-17.47484973,13.8102629,-4.223025016,2.483907175,9.200582648,2.572183589,-4.560767838,2.737534864,-1.832612053,-1487.669923,-1356.505186,-1042.218859,-529.2521547,135.0346018,227.697653,254.0076659,171.044601,87.01164332,87.52962183,8.898805496,-1451.841977,-1314.78911,-1001.21906,-471.3795511,179.7042467,259.4213533,274.6528037,188.9392279,47.98834289,55.76998903,-27.18081274,-1460.367372,-1309.513462,-981.915689,-428.3947929,216.501895,252.8348946,261.9944307,141.9479162,23.58276573,22.07674202,-53.95227216,-1437.083535,-1308.950338,-909.2060122,-365.8540394,209.9129905,231.5177078,199.719761,74.11207083,-9.793228161,12.67780368,-84.61999757,-1490.907823,-1291.071421,-893.2100933,-414.819501,208.3476344,204.099339,93.17350664,-48.25651483,-118.1311084,-139.3398819,-159.8016725,-1434.565566,-1212.953609,-854.1425618,-451.2740428,148.9002798,151.3353891,3.759391842,-104.63251,-121.1431457,-170.6679984,-139.9182693,-1376.515881,-1200.152212,-861.8264492,-450.3487306,98.07555621,141.1896969,47.18959658,-39.67631123,-20.89278608,-64.28049593,-66.98892418,-1309.587458,-1142.509675,-823.3769309,-412.286201,95.37270482,130.4590176,28.76355734,-68.65435605,-25.28894396,-56.44709652,-56.46100108,12.9731746
