"","Accuracy","Kernel"
"1",95.8904109589041,"Linear"
"2",100,"Linear"
"3",96.875,"Linear"
"4",100,"Linear"
"5",89.8305084745763,"Linear"
"6",100,"Linear"
"7",97.3333333333333,"Linear"
"8",100,"Linear"
"9",100,"Linear"
"10",97.1014492753623,"Linear"
"11",100,"Linear"
"12",98.5294117647059,"Linear"
"13",100,"Linear"
"14",100,"Linear"
"15",96.551724137931,"Linear"
"16",97.4025974025974,"Linear"
"17",97.8260869565217,"Linear"
"18",93.9393939393939,"Linear"
"19",100,"Linear"
"20",100,"Linear"
"21",98.7341772151899,"Linear"
"22",100,"Linear"
"23",100,"Linear"
"24",98.5915492957747,"Linear"
"25",100,"Linear"
"26",98.7012987012987,"Linear"
"27",97.5308641975309,"Linear"
"28",100,"Linear"
"29",100,"Linear"
"30",97.3333333333333,"Linear"
"31",98.6842105263158,"Linear"
"32",100,"Linear"
"33",98.4848484848485,"Linear"
"34",98.75,"Linear"
"35",100,"Linear"
"36",98.5714285714286,"Linear"
"37",96,"Linear"
"38",97.4358974358974,"Linear"
"39",100,"Linear"
"40",100,"Linear"
"41",100,"Linear"
"42",97.2222222222222,"Linear"
"43",97.4683544303797,"Linear"
"44",97.1014492753623,"Linear"
"45",100,"Linear"
"46",98.780487804878,"Linear"
"47",94.6666666666667,"Linear"
"48",100,"Linear"
"49",100,"Linear"
"50",100,"Linear"
"51",97.5903614457831,"Linear"
"52",96,"Linear"
"53",94.8717948717949,"Linear"
"54",100,"Linear"
"55",100,"Linear"
"56",95.7142857142857,"Linear"
"57",100,"Linear"
"58",98.6842105263158,"Linear"
"59",100,"Linear"
"60",100,"Linear"
"61",97.7011494252874,"Linear"
"62",98.4615384615385,"Linear"
"63",98.6842105263158,"Linear"
"64",98.4615384615385,"Linear"
"65",98.7179487179487,"Linear"
"66",98.6301369863014,"Linear"
"67",98.7654320987654,"Linear"
"68",100,"Linear"
"69",98.6301369863014,"Linear"
"70",96.0526315789474,"Linear"
"71",100,"Linear"
"72",98.6111111111111,"Linear"
"73",97.2222222222222,"Linear"
"74",100,"Linear"
"75",98.6301369863014,"Linear"
"76",98.8505747126437,"Linear"
"77",100,"Linear"
"78",100,"Linear"
"79",97.6470588235294,"Linear"
"80",100,"Linear"
"81",98.9361702127659,"Linear"
"82",98.4615384615385,"Linear"
"83",98.6486486486486,"Linear"
"84",97.8260869565217,"Linear"
"85",97.2972972972973,"Linear"
"86",98.6111111111111,"Linear"
"87",98.7951807228916,"Linear"
"88",97.5609756097561,"Linear"
"89",98.8636363636364,"Linear"
"90",98.6842105263158,"Linear"
"91",100,"Linear"
"92",100,"Linear"
"93",100,"Linear"
"94",98.9010989010989,"Linear"
"95",98.1818181818182,"Linear"
"96",97.3684210526316,"Linear"
"97",98.8235294117647,"Linear"
"98",100,"Linear"
"99",98.7951807228916,"Linear"
"100",97.5,"Linear"
"101",98.5294117647059,"Radial"
"102",100,"Radial"
"103",94.9152542372881,"Radial"
"104",98.5294117647059,"Radial"
"105",98.6842105263158,"Radial"
"106",100,"Radial"
"107",100,"Radial"
"108",94.0298507462687,"Radial"
"109",94.9152542372881,"Radial"
"110",98.8505747126437,"Radial"
"111",100,"Radial"
"112",100,"Radial"
"113",97.2602739726027,"Radial"
"114",100,"Radial"
"115",100,"Radial"
"116",98.4615384615385,"Radial"
"117",98.8505747126437,"Radial"
"118",98.7179487179487,"Radial"
"119",98.5507246376812,"Radial"
"120",97.3333333333333,"Radial"
"121",100,"Radial"
"122",100,"Radial"
"123",100,"Radial"
"124",100,"Radial"
"125",100,"Radial"
"126",100,"Radial"
"127",98.75,"Radial"
"128",98.5507246376812,"Radial"
"129",100,"Radial"
"130",98.5507246376812,"Radial"
"131",98.7341772151899,"Radial"
"132",100,"Radial"
"133",98.7341772151899,"Radial"
"134",95.5882352941177,"Radial"
"135",100,"Radial"
"136",100,"Radial"
"137",98.7012987012987,"Radial"
"138",100,"Radial"
"139",100,"Radial"
"140",100,"Radial"
"141",97.752808988764,"Radial"
"142",98.5507246376812,"Radial"
"143",100,"Radial"
"144",96.551724137931,"Radial"
"145",98.7012987012987,"Radial"
"146",97.0149253731343,"Radial"
"147",98.7179487179487,"Radial"
"148",97.1428571428571,"Radial"
"149",95.4545454545455,"Radial"
"150",98.5507246376812,"Radial"
"151",95.774647887324,"Radial"
"152",100,"Radial"
"153",98.5507246376812,"Radial"
"154",100,"Radial"
"155",98.6842105263158,"Radial"
"156",95.4022988505747,"Radial"
"157",97.1014492753623,"Radial"
"158",100,"Radial"
"159",98.7341772151899,"Radial"
"160",97.3333333333333,"Radial"
"161",97.7272727272727,"Radial"
"162",98.4615384615385,"Radial"
"163",96.25,"Radial"
"164",98.780487804878,"Radial"
"165",96.0526315789474,"Radial"
"166",97.4358974358974,"Radial"
"167",100,"Radial"
"168",100,"Radial"
"169",98.4848484848485,"Radial"
"170",98.8235294117647,"Radial"
"171",100,"Radial"
"172",100,"Radial"
"173",100,"Radial"
"174",98.6111111111111,"Radial"
"175",98.5507246376812,"Radial"
"176",97.2972972972973,"Radial"
"177",100,"Radial"
"178",100,"Radial"
"179",98.7654320987654,"Radial"
"180",100,"Radial"
"181",100,"Radial"
"182",98.6842105263158,"Radial"
"183",98.6842105263158,"Radial"
"184",97.3333333333333,"Radial"
"185",100,"Radial"
"186",98.3870967741936,"Radial"
"187",95.2380952380952,"Radial"
"188",98.6486486486486,"Radial"
"189",100,"Radial"
"190",100,"Radial"
"191",98.6486486486486,"Radial"
"192",98.9010989010989,"Radial"
"193",100,"Radial"
"194",100,"Radial"
"195",97.0588235294118,"Radial"
"196",98.7012987012987,"Radial"
"197",96.2962962962963,"Radial"
"198",100,"Radial"
"199",100,"Radial"
"200",100,"Radial"
"201",96.1038961038961,"Polynomial"
"202",91.4634146341463,"Polynomial"
"203",91.304347826087,"Polynomial"
"204",94.6666666666667,"Polynomial"
"205",83.3333333333333,"Polynomial"
"206",87.3015873015873,"Polynomial"
"207",94.9367088607595,"Polynomial"
"208",90.9090909090909,"Polynomial"
"209",96.0526315789474,"Polynomial"
"210",88.7096774193548,"Polynomial"
"211",92,"Polynomial"
"212",98.7179487179487,"Polynomial"
"213",93.8271604938272,"Polynomial"
"214",86.6666666666667,"Polynomial"
"215",88.0952380952381,"Polynomial"
"216",85.5421686746988,"Polynomial"
"217",86.4406779661017,"Polynomial"
"218",92.3076923076923,"Polynomial"
"219",93.5064935064935,"Polynomial"
"220",97.1830985915493,"Polynomial"
"221",92.9411764705882,"Polynomial"
"222",85.2941176470588,"Polynomial"
"223",86.6666666666667,"Polynomial"
"224",90.5405405405405,"Polynomial"
"225",90.2777777777778,"Polynomial"
"226",92.1052631578947,"Polynomial"
"227",93.0555555555555,"Polynomial"
"228",92.6470588235294,"Polynomial"
"229",97.0588235294118,"Polynomial"
"230",94.1176470588235,"Polynomial"
"231",89.3333333333333,"Polynomial"
"232",94.5054945054945,"Polynomial"
"233",91.1764705882353,"Polynomial"
"234",95.4545454545455,"Polynomial"
"235",92.9577464788732,"Polynomial"
"236",91.25,"Polynomial"
"237",95.774647887324,"Polynomial"
"238",96.2025316455696,"Polynomial"
"239",90.5660377358491,"Polynomial"
"240",89.7058823529412,"Polynomial"
"241",95.7142857142857,"Polynomial"
"242",95.7142857142857,"Polynomial"
"243",88.5057471264368,"Polynomial"
"244",96.1038961038961,"Polynomial"
"245",88.75,"Polynomial"
"246",94.4444444444444,"Polynomial"
"247",89.1891891891892,"Polynomial"
"248",91.8604651162791,"Polynomial"
"249",92,"Polynomial"
"250",89.1304347826087,"Polynomial"
"251",94.5205479452055,"Polynomial"
"252",100,"Polynomial"
"253",92.4242424242424,"Polynomial"
"254",86.4197530864197,"Polynomial"
"255",93.8271604938272,"Polynomial"
"256",91.25,"Polynomial"
"257",96,"Polynomial"
"258",92.5925925925926,"Polynomial"
"259",89.4736842105263,"Polynomial"
"260",88.2352941176471,"Polynomial"
"261",93.4210526315789,"Polynomial"
"262",89.8876404494382,"Polynomial"
"263",94.6666666666667,"Polynomial"
"264",98.4375,"Polynomial"
"265",91.25,"Polynomial"
"266",92.4050632911392,"Polynomial"
"267",85.7142857142857,"Polynomial"
"268",92.6315789473684,"Polynomial"
"269",83.7209302325581,"Polynomial"
"270",90,"Polynomial"
"271",91.4285714285714,"Polynomial"
"272",93.0555555555555,"Polynomial"
"273",86.9565217391304,"Polynomial"
"274",91.9540229885057,"Polynomial"
"275",86.8421052631579,"Polynomial"
"276",95.945945945946,"Polynomial"
"277",86.3013698630137,"Polynomial"
"278",96.5116279069767,"Polynomial"
"279",88.1578947368421,"Polynomial"
"280",96.5909090909091,"Polynomial"
"281",92.3076923076923,"Polynomial"
"282",89.7435897435898,"Polynomial"
"283",93.4210526315789,"Polynomial"
"284",91.1392405063291,"Polynomial"
"285",92.8571428571428,"Polynomial"
"286",94.2857142857143,"Polynomial"
"287",94.1176470588235,"Polynomial"
"288",96.2264150943396,"Polynomial"
"289",91.5492957746479,"Polynomial"
"290",92.5,"Polynomial"
"291",89.041095890411,"Polynomial"
"292",94.2857142857143,"Polynomial"
"293",93.4782608695652,"Polynomial"
"294",90.7692307692308,"Polynomial"
"295",97.4358974358974,"Polynomial"
"296",92.9577464788732,"Polynomial"
"297",92.5,"Polynomial"
"298",91.025641025641,"Polynomial"
"299",92.7710843373494,"Polynomial"
"300",100,"Polynomial"
"301",100,"Sigmoidal"
"302",98.9361702127659,"Sigmoidal"
"303",100,"Sigmoidal"
"304",97.3333333333333,"Sigmoidal"
"305",100,"Sigmoidal"
"306",100,"Sigmoidal"
"307",100,"Sigmoidal"
"308",100,"Sigmoidal"
"309",98.876404494382,"Sigmoidal"
"310",98.7012987012987,"Sigmoidal"
"311",94.5945945945946,"Sigmoidal"
"312",98.4375,"Sigmoidal"
"313",100,"Sigmoidal"
"314",98.5714285714286,"Sigmoidal"
"315",98.5714285714286,"Sigmoidal"
"316",98.5915492957747,"Sigmoidal"
"317",100,"Sigmoidal"
"318",100,"Sigmoidal"
"319",98.6842105263158,"Sigmoidal"
"320",100,"Sigmoidal"
"321",97.4025974025974,"Sigmoidal"
"322",97.4025974025974,"Sigmoidal"
"323",98.5714285714286,"Sigmoidal"
"324",100,"Sigmoidal"
"325",100,"Sigmoidal"
"326",100,"Sigmoidal"
"327",97.1830985915493,"Sigmoidal"
"328",98.6842105263158,"Sigmoidal"
"329",98.75,"Sigmoidal"
"330",98.8636363636364,"Sigmoidal"
"331",100,"Sigmoidal"
"332",96.551724137931,"Sigmoidal"
"333",100,"Sigmoidal"
"334",98.6111111111111,"Sigmoidal"
"335",97.1428571428571,"Sigmoidal"
"336",98.7012987012987,"Sigmoidal"
"337",97.1428571428571,"Sigmoidal"
"338",98.7951807228916,"Sigmoidal"
"339",100,"Sigmoidal"
"340",96.25,"Sigmoidal"
"341",100,"Sigmoidal"
"342",96.6292134831461,"Sigmoidal"
"343",98.5915492957747,"Sigmoidal"
"344",98.7179487179487,"Sigmoidal"
"345",97.6744186046512,"Sigmoidal"
"346",98.7012987012987,"Sigmoidal"
"347",98.7012987012987,"Sigmoidal"
"348",100,"Sigmoidal"
"349",100,"Sigmoidal"
"350",100,"Sigmoidal"
"351",98.6666666666667,"Sigmoidal"
"352",98.6666666666667,"Sigmoidal"
"353",97.3684210526316,"Sigmoidal"
"354",100,"Sigmoidal"
"355",98.6301369863014,"Sigmoidal"
"356",97.5903614457831,"Sigmoidal"
"357",98.75,"Sigmoidal"
"358",97.4025974025974,"Sigmoidal"
"359",95.7142857142857,"Sigmoidal"
"360",100,"Sigmoidal"
"361",100,"Sigmoidal"
"362",100,"Sigmoidal"
"363",100,"Sigmoidal"
"364",98.8235294117647,"Sigmoidal"
"365",98.5074626865672,"Sigmoidal"
"366",98.6111111111111,"Sigmoidal"
"367",100,"Sigmoidal"
"368",96.3414634146341,"Sigmoidal"
"369",98.8095238095238,"Sigmoidal"
"370",100,"Sigmoidal"
"371",100,"Sigmoidal"
"372",98.7341772151899,"Sigmoidal"
"373",96.4705882352941,"Sigmoidal"
"374",100,"Sigmoidal"
"375",98.7654320987654,"Sigmoidal"
"376",97.4683544303797,"Sigmoidal"
"377",97.5308641975309,"Sigmoidal"
"378",98.7012987012987,"Sigmoidal"
"379",100,"Sigmoidal"
"380",100,"Sigmoidal"
"381",98.6842105263158,"Sigmoidal"
"382",98.8235294117647,"Sigmoidal"
"383",97.752808988764,"Sigmoidal"
"384",98.75,"Sigmoidal"
"385",100,"Sigmoidal"
"386",100,"Sigmoidal"
"387",100,"Sigmoidal"
"388",100,"Sigmoidal"
"389",100,"Sigmoidal"
"390",97.3333333333333,"Sigmoidal"
"391",100,"Sigmoidal"
"392",100,"Sigmoidal"
"393",98.3333333333333,"Sigmoidal"
"394",97.3684210526316,"Sigmoidal"
"395",100,"Sigmoidal"
"396",97.5,"Sigmoidal"
"397",98.2758620689655,"Sigmoidal"
"398",98.6486486486486,"Sigmoidal"
"399",100,"Sigmoidal"
"400",98.4615384615385,"Sigmoidal"
