"","X","grp.recording","female.id","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","duty.cycle","note.dur.comb","rest.dur.comb","num.notes","intro.dur","trill.dur"
"1",1,"SAFA_02_036","SAFA_02","SAFA_02_036.02",2,0.923,279.9,646,925.9,0.854,172.3,624.5,796.7,0.737,236.9,646,882.9,0.592,323,646,969,0.435,344.5,646,990.5,0.366,344.5,667.5,1012.1,0.829594017094017,3.106,3.744,74,7.952,6.078
"2",75,"SAFA_02_036","SAFA_02","SAFA_02_036.03",3,0.691,258.4,646,904.4,0.88,279.9,602.9,882.9,0.772,279.9,646,925.9,0.592,301.5,646,947.5,0.441,323,667.5,990.5,0.348,323,667.5,990.5,0.808985667034179,2.935,3.628,75,8.046,6.026
"3",150,"SAFA_02_036","SAFA_02","SAFA_02_036.04",4,0.919,215.3,624.5,839.8,0.934,215.3,624.5,839.8,0.68,193.8,624.5,818.3,0.499,193.8,646,839.8,0.406,215.3,667.5,882.9,0.325,387.6,667.5,1055.1,0.851924697948862,3.032,3.559,64,7.397,5.335
"4",214,"SAFA_02_036","SAFA_02","SAFA_02_036.05",5,0.685,301.5,624.5,925.9,0.802,258.4,624.5,882.9,0.697,215.3,624.5,839.8,0.545,301.5,646,947.5,0.476,323,646,969,0.412,323,667.5,990.5,0.786228752520887,2.729,3.471,75,7.86,6.246
"5",289,"SAFA_02_036","SAFA_02","SAFA_02_036.06",6,0.691,279.9,624.5,904.4,0.691,301.5,624.5,925.9,0.609,279.9,646,925.9,0.482,301.5,646,947.5,0.388,323,667.5,990.5,0.32,279.9,667.5,947.5,0.759287688056494,2.473,3.257,70,7.693,5.184
"6",359,"SAFA_02_036","SAFA_02","SAFA_02_036.07",7,0.662,258.4,624.5,882.9,0.737,258.4,624.5,882.9,0.656,236.9,646,882.9,0.522,301.5,646,947.5,0.412,344.5,646,990.5,0.325,387.6,667.5,1055.1,0.773409363745498,2.577,3.332,64,7.256,5.126
"7",423,"SAFA_02_036","SAFA_02","SAFA_02_036.08",8,0.603,301.5,624.5,925.9,0.914,236.9,602.9,839.8,0.757,215.3,624.5,839.8,0.597,236.9,646,882.9,0.458,323,646,969,0.308,323,667.5,990.5,0.861644657863145,2.871,3.332,85,9.247,5.108
"8",508,"SAFA_02_036","SAFA_02","SAFA_02_036.09",9,0.65,215.3,667.5,882.9,0.696,258.4,624.5,882.9,0.69,215.3,646,861.3,0.523,236.9,646,882.9,0.412,323,667.5,990.5,0.331,366.1,667.5,1033.6,0.790058660080272,2.559,3.239,77,7.958,5.503
"9",585,"SAFA_02_036","SAFA_02","SAFA_02_036.10",10,0.662,323,624.5,947.5,0.784,279.9,624.5,904.4,0.669,193.8,624.5,818.3,0.516,366.1,646,1012.1,0.383,409.1,667.5,1076.7,0.374,344.5,689.1,1033.6,0.797998180163785,2.631,3.297,82,9.022,4.672
"10",667,"SAFA_02_036","SAFA_02","SAFA_02_036.11",11,0.603,215.3,646,861.3,0.65,150.7,624.5,775.2,0.656,172.3,646,818.3,0.557,150.7,646,796.7,0.447,215.3,646,861.3,0.4,258.4,667.5,925.9,0.761346094473603,2.466,3.239,65,6.887,6.037
"11",732,"SAFA_02_036","SAFA_02","SAFA_02_036.12",12,0.679,172.3,646,818.3,0.72,172.3,624.5,796.7,0.651,150.7,646,796.7,0.54,172.3,646,818.3,0.371,172.3,667.5,839.8,0.314,172.3,667.5,839.8,0.782713810818979,2.59,3.309,67,7.165,5.126
"12",799,"SAFA_02_036","SAFA_02","SAFA_02_036.13",13,0.656,193.8,624.5,818.3,0.714,258.4,624.5,882.9,0.638,258.4,646,904.4,0.47,193.8,667.5,861.3,0.36,236.9,667.5,904.4,0.313,215.3,689.1,904.4,0.763636363636364,2.478,3.245,67,7.814,4.661
"13",866,"SAFA_02_036","SAFA_02","SAFA_02_036.14",14,0.697,150.7,602.9,753.7,0.726,129.2,624.5,753.7,0.69,215.3,624.5,839.8,0.523,193.8,646,839.8,0.4,258.4,646,904.4,0.377,236.9,667.5,904.4,0.786865671641791,2.636,3.35,74,7.694,5.596
"14",940,"SAFA_02_036","SAFA_02","SAFA_02_036.16",16,0.72,215.3,602.9,818.3,0.808,193.8,624.5,818.3,0.853,172.3,646,818.3,0.56,150.7,646,796.7,0.452,172.3,667.5,839.8,0.319,150.7,667.5,818.3,0.884511278195489,2.941,3.325,65,7.621,5.207
"17",1148,"SAFA_04_039","SAFA_04","SAFA_04_039.01",1,0.993,107.7,559.9,667.5,0.714,129.2,581.4,710.6,0.313,301.5,624.5,925.9,0.197,366.1,667.5,1033.6,0.157,473.7,667.5,1141.3,0.134,538.3,667.5,1205.9,0.734349122225903,2.217,3.019,50,6.724,2.496
"18",1198,"SAFA_04_039","SAFA_04","SAFA_04_039.02",2,1.167,86.1,559.9,646,1.017,258.4,581.4,839.8,0.29,344.5,646,990.5,0.22,452.2,689.1,1141.3,0.174,473.7,710.6,1184.3,0.145,452.2,732.1,1184.3,0.869032258064516,2.694,3.1,58,7.084,3.019
"19",1256,"SAFA_04_039","SAFA_04","SAFA_04_039.03",3,1.225,107.7,559.9,667.5,0.673,215.3,602.9,818.3,0.359,279.9,646,925.9,0.221,473.7,689.1,1162.8,0.18,516.8,689.1,1205.9,0.157,559.9,732.1,1292,0.77196261682243,2.478,3.21,59,7.251,3.129
"20",1315,"SAFA_04_039","SAFA_04","SAFA_04_039.04",4,1.112,107.7,559.9,667.5,0.789,86.1,581.4,667.5,0.473,236.9,624.5,861.3,0.332,452.2,689.1,1141.3,0.186,516.8,710.6,1227.4,0.099,516.8,732.1,1248.9,0.792850864342221,2.706,3.413,56,7.013,3.291
"21",1371,"SAFA_04_039","SAFA_04","SAFA_04_039.05",5,1.115,86.1,559.9,646,0.837,129.2,581.4,710.6,0.441,366.1,624.5,990.5,0.337,473.7,689.1,1162.8,0.226,538.3,710.6,1248.9,0.174,495.3,775.2,1270.5,0.822041553748871,2.73,3.321,60,7.274,3.64
"22",1431,"SAFA_04_039","SAFA_04","SAFA_04_039.06",6,1.155,86.1,559.9,646,0.848,86.1,581.4,667.5,0.482,107.7,602.9,710.6,0.267,473.7,646,1119.7,0.168,581.4,646,1227.4,0.139,602.9,646,1248.9,0.788764689022643,2.752,3.489,58,7.182,3.454
"23",1489,"SAFA_04_039","SAFA_04","SAFA_04_039.07",7,1.111,107.7,559.9,667.5,0.697,172.3,602.9,775.2,0.319,323,646,969,0.244,430.7,667.5,1098.2,0.197,516.8,689.1,1205.9,0.168,581.4,710.6,1292,0.754374801145402,2.371,3.143,63,7.711,3.03
"24",1552,"SAFA_04_039","SAFA_04","SAFA_04_039.08",8,1.219,129.2,559.9,689.1,0.819,215.3,581.4,796.7,0.337,215.3,624.5,839.8,0.29,323,646,969,0.25,409.1,667.5,1076.7,0.139,452.2,667.5,1119.7,0.776741474788691,2.665,3.431,68,7.97,3.75
"25",1620,"SAFA_04_039","SAFA_04","SAFA_04_039.09",9,1.138,86.1,559.9,646,0.737,107.7,581.4,689.1,0.348,150.7,624.5,775.2,0.226,258.4,646,904.4,0.192,344.5,646,990.5,0.157,452.2,646,1098.2,0.766990291262136,2.449,3.193,49,6.136,3.111
"26",1669,"SAFA_04_039","SAFA_04","SAFA_04_039.10",10,1.057,86.1,559.9,646,0.685,129.2,581.4,710.6,0.308,409.1,624.5,1033.6,0.267,516.8,646,1162.8,0.209,559.9,667.5,1227.4,0.18,559.9,689.1,1248.9,0.764686468646865,2.317,3.03,43,5.01,3.286
"27",1712,"SAFA_04_039","SAFA_04","SAFA_04_039.11",11,1.045,86.1,559.9,646,0.697,236.9,581.4,818.3,0.29,279.9,646,925.9,0.226,409.1,667.5,1076.7,0.18,516.8,689.1,1205.9,0.151,538.3,689.1,1227.4,0.746446280991735,2.258,3.025,58,7.059,2.937
