female.id,delta_80,delta_79,delta_69,delta_68,delta_67,delta_57,delta_58,delta_46,delta_35,delta_56,delta_45,delta_24,delta_47,delta_14,delta_34,delta_23,delta_36,delta_3,delta_1,delta_70,delta_13,delta_81,delta_78,delta_25,delta_12,delta_59,delta_2,delta_17,delta_18,delta_28,delta_75,delta_64,delta_50,delta_39,delta_7,delta_73,mfcc_28,mfcc_54,mfcc_30,delta_51,delta_40,delta_62,delta_29,delta_31,mfcc_33
SAFA_02,-884.5567234,-1220.855159,-905.4306107,-1264.224492,-1460.187455,-1238.480511,-900.7449397,-1358.302931,-1425.802152,-1471.404282,-1569.181044,-1384.85443,-925.0347262,-1041.381664,-1547.330637,-1506.40356,-981.4566287,-1077.213388,-1524.931364,-469.8298759,-1349.603676,-448.6868856,-1383.11904,-1034.617511,-1503.493818,-470.5376271,-1410.819985,267.5086506,296.4291302,250.6394328,-52.82768647,-38.66705194,185.1938415,246.2418653,195.4924849,9.863781376,-16.97233731,6.389883167,21.80536665,-4.633777199,197.7122527,-21.07310284,253.9572617,36.46797599,7.421175742
SAFA_02,-913.3313916,-1205.614566,-915.7894206,-1250.261006,-1417.069192,-1239.19115,-907.9645727,-1292.274225,-1383.690627,-1484.549469,-1520.396585,-1344.48272,-912.6977089,-1052.953738,-1542.911796,-1496.268013,-960.2053209,-1094.926069,-1554.776161,-468.7543829,-1341.343635,-471.2392593,-1342.226902,-1007.143299,-1515.263122,-490.5115269,-1383.039125,218.1954073,259.7392136,222.8897094,9.130160819,-85.2137643,138.8851554,206.6876687,228.6591575,32.07822212,-9.275536092,-3.464939407,23.54481341,-24.12302316,152.6576483,-33.41157844,211.5494795,1.807648378,6.749817849
SAFA_02,-920.5507044,-1258.397616,-937.3753288,-1302.413164,-1481.92328,-1295.354602,-920.2741209,-1335.105265,-1424.17278,-1519.143682,-1563.048351,-1411.318797,-932.6175127,-1092.228522,-1597.200112,-1549.257345,-967.4802504,-1081.817203,-1564.778674,-488.7025191,-1413.803329,-471.9517292,-1419.748989,-1042.07932,-1547.223921,-485.614898,-1423.449658,187.3738251,214.4002494,180.263505,-36.45088382,-125.6796954,119.9911817,202.6586932,210.2105736,26.19913577,-11.3848347,3.961700144,17.32834372,-68.39628471,74.95195255,-17.02013595,157.0929162,-32.34724421,0.283898421
SAFA_02,-897.2412562,-1244.990682,-955.3493764,-1317.714927,-1480.375067,-1299.56836,-934.0136546,-1370.869851,-1428.631658,-1497.583465,-1563.97817,-1369.00514,-941.3420875,-1096.967142,-1566.778926,-1526.5695,-1006.925141,-1128.141279,-1598.742226,-485.8428235,-1411.013561,-452.5226728,-1412.361945,-1057.913682,-1555.501748,-501.8616531,-1442.290181,218.5140593,242.0386494,239.7955947,-4.248564493,-85.28029656,209.67741,227.3785336,207.3202937,51.3226337,-8.813061497,11.85363688,17.58825267,39.60543369,190.4505219,4.17415067,239.868007,-16.78225326,1.188604648
SAFA_02,-889.783067,-1168.530098,-895.6898087,-1248.538932,-1400.698668,-1270.677815,-918.9425477,-1307.138408,-1400.682478,-1482.173746,-1543.138472,-1384.367889,-930.6862154,-1070.948064,-1611.102327,-1535.842532,-966.6890192,-1111.017307,-1584.79314,-419.6765626,-1451.080015,-441.4460404,-1315.072207,-1026.910096,-1619.966093,-477.5802788,-1406.482626,280.2093016,274.677952,264.2942704,-24.58677722,-71.09758381,203.4663138,265.1603607,256.0565097,47.74546846,-10.77112848,10.2238055,26.1806892,26.46128119,138.3512462,39.07692543,257.3541137,9.859547063,8.306326156
SAFA_02,-900.2322199,-1231.99077,-893.3038043,-1250.50808,-1464.102759,-1246.914865,-883.788859,-1317.688258,-1364.883723,-1476.369849,-1536.699324,-1317.923323,-902.1363815,-1038.385327,-1486.256126,-1467.8251,-941.1393917,-1072.970597,-1517.919699,-453.837983,-1339.718918,-466.6480279,-1445.699444,-1003.888783,-1498.811865,-455.7482953,-1372.336159,255.713632,281.9562453,262.1187002,-59.50396173,-89.50710397,208.1440944,218.6707325,237.1202192,12.17347832,-9.953458725,1.596919456,21.69272769,42.14206495,204.7508219,9.042621481,251.8198767,-23.64482266,3.201577069
SAFA_02,-875.6515354,-1178.9755,-911.7785405,-1262.106716,-1443.65501,-1278.206364,-929.5062535,-1320.093597,-1366.291171,-1493.800817,-1508.379527,-1382.68047,-916.5264921,-1031.038741,-1551.34438,-1521.776621,-925.7659889,-1106.175889,-1527.221467,-467.2499512,-1355.511426,-440.299483,-1327.494692,-1002.470173,-1500.385256,-483.9397165,-1386.670883,227.4171926,251.0512281,218.3580174,-20.53791834,-60.44737697,166.4933458,206.4468564,224.4009704,22.27914004,-13.02666601,6.472277292,18.93681215,9.063049459,86.41073787,-5.02948217,212.9154543,49.91361412,8.729182401
SAFA_02,-938.6688507,-1296.248167,-936.2567739,-1296.387437,-1522.597158,-1278.529228,-938.0530082,-1343.040949,-1420.008285,-1531.112928,-1574.180157,-1406.459686,-917.4551716,-1057.413138,-1569.451743,-1538.32315,-932.2883648,-1114.017099,-1596.543204,-480.073504,-1412.686421,-461.5033936,-1484.396201,-1015.413864,-1552.106017,-455.8739622,-1453.918331,248.8486016,292.6629076,253.2307112,-50.18083533,-1.112510612,157.5223078,228.0514474,263.5632847,-9.635738605,-15.62593522,-2.095739408,26.81588396,2.400935897,149.8792539,10.28931728,261.2265429,27.37175577,10.1107223
SAFA_02,-917.5353007,-1208.76076,-923.3262015,-1292.548019,-1475.860645,-1227.90663,-890.446524,-1295.321224,-1385.532678,-1458.975315,-1518.797436,-1415.152117,-910.44449,-1053.060951,-1577.724524,-1535.560837,-955.4891533,-1108.187739,-1540.30382,-480.4534142,-1358.860494,-451.6642356,-1366.767209,-1021.753765,-1493.645203,-471.8584497,-1426.94949,259.4415336,282.243226,260.3646387,-19.97404748,-69.3291034,168.4860474,232.922692,246.8345986,37.76943073,-18.90309655,5.911053359,23.41852878,-5.295725598,93.36880095,-18.08871747,241.5065986,72.73703825,9.644529434
SAFA_02,-823.3769309,-1142.509675,-861.8264492,-1200.152212,-1376.515881,-1212.953609,-854.1425618,-1291.071421,-1308.950338,-1434.565566,-1490.907823,-1309.513462,-893.2100933,-1001.21906,-1437.083535,-1460.367372,-909.2060122,-1042.218859,-1487.669923,-450.3487306,-1314.78911,-412.286201,-1309.587458,-981.915689,-1451.841977,-451.2740428,-1356.505186,259.4213533,274.6528037,252.8348946,-20.89278608,-121.1431457,204.099339,231.5177078,254.0076659,47.18959658,-8.996449774,-0.409838891,21.4777429,93.17350664,199.719761,3.759391842,261.9944307,23.58276573,4.213024657
